scheme,volume,repetition,transaction_id,key_gen_time,encryption_time,decryption_time,integrity_verified,throughput
ECC+AES-256,500,4,1,7.373400003416464,2.1492999949259683,0.23809999402146786,True,3872.6097356144783
ECC+AES-256,500,4,2,0.046299988753162324,0.18489999638404697,0.13050000416114926,True,3872.6097356144783
ECC+AES-256,500,4,3,0.030099996365606785,0.15259999781847,0.11799999629147351,True,3872.6097356144783
ECC+AES-256,500,4,4,0.025600005756132305,0.14220000593923032,0.11439999798312783,True,3872.6097356144783
ECC+AES-256,500,4,5,0.025300003471784294,0.1399000029778108,0.11310000263620168,True,3872.6097356144783
ECC+AES-256,500,4,6,0.026500012609176338,0.14090001059230417,0.1154000055976212,True,3872.6097356144783
ECC+AES-256,500,4,7,0.024900000425986946,0.1402000052621588,0.112900001113303,True,3872.6097356144783
ECC+AES-256,500,4,8,0.02439999661874026,0.148899998748675,0.11319998884573579,True,3872.6097356144783
ECC+AES-256,500,4,9,0.03300000389572233,0.15350000467151403,0.11549999180715531,True,3872.6097356144783
ECC+AES-256,500,4,10,0.02989999484270811,0.14940000255592167,0.11400000948924571,True,3872.6097356144783
ECC+AES-256,500,4,11,0.02849999873433262,0.155999994603917,0.11340000492054969,True,3872.6097356144783
ECC+AES-256,500,4,12,0.025999994250014424,0.1407000090694055,0.11269999959040433,True,3872.6097356144783
ECC+AES-256,500,4,13,0.02469999890308827,0.13780000153928995,0.11139998969156295,True,3872.6097356144783
ECC+AES-256,500,4,14,0.024199995095841587,0.13830000534653664,0.11130000348202884,True,3872.6097356144783
ECC+AES-256,500,4,15,0.02469999890308827,0.1379000023007393,0.12730000889860094,True,3872.6097356144783
ECC+AES-256,500,4,16,0.025300003471784294,0.13780000153928995,0.11579999409150332,True,3872.6097356144783
ECC+AES-256,500,4,17,0.024499997380189598,0.13780000153928995,0.11069999891333282,True,3872.6097356144783
ECC+AES-256,500,4,18,0.024299995857290924,0.13699999544769526,0.11190000805072486,True,3872.6097356144783
ECC+AES-256,500,4,19,0.02400000812485814,0.13589998707175255,0.11110000195913017,True,3872.6097356144783
ECC+AES-256,500,4,20,0.024299995857290924,0.13590000162366778,0.11130000348202884,True,3872.6097356144783
ECC+AES-256,500,4,21,0.024499997380189598,0.14459999511018395,0.11530000483617187,True,3872.6097356144783
ECC+AES-256,500,4,22,0.02440001117065549,0.13760000001639128,0.11220001033507288,True,3872.6097356144783
ECC+AES-256,500,4,23,0.024100008886307478,0.1382000045850873,0.11149999045301229,True,3872.6097356144783
ECC+AES-256,500,4,24,0.02409999433439225,0.13810000382363796,0.11149999045301229,True,3872.6097356144783
ECC+AES-256,500,4,25,0.023999993572942913,0.13679999392479658,0.11189999349880964,True,3872.6097356144783
ECC+AES-256,500,4,26,0.024299995857290924,0.13640000543091446,0.11039999662898481,True,3872.6097356144783
ECC+AES-256,500,4,27,0.023900007363408804,0.14599999121855944,0.11579999409150332,True,3872.6097356144783
ECC+AES-256,500,4,28,0.02479999966453761,0.1360000023851171,0.11019999510608613,True,3872.6097356144783
ECC+AES-256,500,4,29,0.024499997380189598,0.13760000001639128,0.11249999806750566,True,3872.6097356144783
ECC+AES-256,500,4,30,0.024200009647756815,0.13830000534653664,0.11110000195913017,True,3872.6097356144783
ECC+AES-256,500,4,31,0.024299995857290924,0.13670000771526247,0.11070001346524805,True,3872.6097356144783
ECC+AES-256,500,4,32,0.023800006601959467,0.1357000001007691,0.1100999943446368,True,3872.6097356144783
ECC+AES-256,500,4,33,0.02510000194888562,0.1390999968862161,0.11110000195913017,True,3872.6097356144783
ECC+AES-256,500,4,34,0.023999993572942913,0.13689999468624592,0.1109000004362315,True,3872.6097356144783
ECC+AES-256,500,4,35,0.024100008886307478,0.13649999164044857,0.11130000348202884,True,3872.6097356144783
ECC+AES-256,500,4,36,0.02409999433439225,0.1370999962091446,0.11039999662898481,True,3872.6097356144783
ECC+AES-256,500,4,37,0.023899992811493576,0.21149999520275742,0.19530000281520188,True,3872.6097356144783
ECC+AES-256,500,4,38,0.03300000389572233,0.15889998758211732,0.1154000055976212,True,3872.6097356144783
ECC+AES-256,500,4,39,0.025300003471784294,0.14010000450070947,0.11210000957362354,True,3872.6097356144783
ECC+AES-256,500,4,40,0.024499997380189598,0.1399000029778108,0.11189999349880964,True,3872.6097356144783
ECC+AES-256,500,4,41,0.02400000812485814,0.13770000077784061,0.11140000424347818,True,3872.6097356144783
ECC+AES-256,500,4,42,0.024100008886307478,0.1373000122839585,0.11140000424347818,True,3872.6097356144783
ECC+AES-256,500,4,43,0.02400000812485814,0.13719999697059393,0.1109999866457656,True,3872.6097356144783
ECC+AES-256,500,4,44,0.02469999890308827,0.13889999536331743,0.11210000957362354,True,3872.6097356144783
ECC+AES-256,500,4,45,0.024200009647756815,0.13660000695381314,0.11109998740721494,True,3872.6097356144783
ECC+AES-256,500,4,46,0.024100008886307478,0.13670000771526247,0.11029999586753547,True,3872.6097356144783
ECC+AES-256,500,4,47,0.023900007363408804,0.13660000695381314,0.11039999662898481,True,3872.6097356144783
ECC+AES-256,500,4,48,0.024300010409206152,0.14470001042354852,0.1120000088121742,True,3872.6097356144783
ECC+AES-256,500,4,49,0.02400000812485814,0.13699999544769526,0.12229999992996454,True,3872.6097356144783
ECC+AES-256,500,4,50,0.024900000425986946,0.13849999231752008,0.11220001033507288,True,3872.6097356144783
ECC+AES-256,500,4,51,0.023999993572942913,0.13580000086221844,0.10999999358318746,True,3872.6097356144783
ECC+AES-256,500,4,52,0.02439999661874026,0.13559999933931977,0.11029999586753547,True,3872.6097356144783
ECC+AES-256,500,4,53,0.023900007363408804,0.1353999978164211,0.11039999662898481,True,3872.6097356144783
ECC+AES-256,500,4,54,0.024499997380189598,0.14109999756328762,0.11159999121446162,True,3872.6097356144783
