scheme,volume,repetition,transaction_id,key_gen_time,encryption_time,decryption_time,integrity_verified,throughput
RSA+AES-256,5000,2,1,585.5044999989332,22.64159999322146,3.355699998792261,True,272.9444173809545
RSA+AES-256,5000,2,2,587.349000001268,0.7703000010224059,3.267699998104945,True,272.9444173809545
RSA+AES-256,5000,2,3,80.65429999987828,0.7103000025381334,3.1366999974125065,True,272.9444173809545
RSA+AES-256,5000,2,4,658.2511000015074,0.6816000022809021,3.100800000538584,True,272.9444173809545
RSA+AES-256,5000,2,5,314.8653000025661,0.7114000036381185,3.0144999982439913,True,272.9444173809545
RSA+AES-256,5000,2,6,1084.5523000025423,0.6169999978737906,2.9456999982357956,True,272.9444173809545
RSA+AES-256,5000,2,7,115.74539999855915,0.6138000026112422,2.9381999993347563,True,272.9444173809545
RSA+AES-256,5000,2,8,318.2050999967032,0.6589000040548854,2.940699996543117,True,272.9444173809545
RSA+AES-256,5000,2,9,774.171999997634,0.6558000022778288,2.873999997973442,True,272.9444173809545
RSA+AES-256,5000,2,10,640.7054000010248,0.6742999976268038,2.942400002211798,True,272.9444173809545
RSA+AES-256,5000,2,11,214.50449999974808,0.6669999929727055,2.9544999997597188,True,272.9444173809545
RSA+AES-256,5000,2,12,355.99099999672035,0.6745999999111518,2.9129000031389296,True,272.9444173809545
RSA+AES-256,5000,2,13,216.18679999664892,0.6399999983841553,2.9008999990765005,True,272.9444173809545
RSA+AES-256,5000,2,14,254.00179999996908,0.650499998300802,2.921399995102547,True,272.9444173809545
RSA+AES-256,5000,2,15,1349.8522000008961,0.6701000020257197,2.912399999331683,True,272.9444173809545
RSA+AES-256,5000,2,16,530.695100002049,0.701400000252761,2.923799998825416,True,272.9444173809545
RSA+AES-256,5000,2,17,530.9942999956547,0.6835000021965243,2.9394000011961907,True,272.9444173809545
RSA+AES-256,5000,2,18,332.95389999693725,0.6786000012652948,3.0512000012095086,True,272.9444173809545
RSA+AES-256,5000,2,19,96.97179999784566,0.683400001435075,2.922199993918184,True,272.9444173809545
RSA+AES-256,5000,2,20,347.6388999988558,0.6853000013506971,3.07990000146674,True,272.9444173809545
RSA+AES-256,5000,2,21,638.4451000049012,0.6745999999111518,2.989199994772207,True,272.9444173809545
RSA+AES-256,5000,2,22,833.214999998745,0.6180999989737757,2.9704999979003333,True,272.9444173809545
RSA+AES-256,5000,2,23,685.9129000004032,0.6617999970330857,2.9722000035690144,True,272.9444173809545
RSA+AES-256,5000,2,24,946.8845000010333,0.6490000014309771,2.8572000010171905,True,272.9444173809545
RSA+AES-256,5000,2,25,1659.9081000022124,0.6815000015194528,3.0167000004439615,True,272.9444173809545
RSA+AES-256,5000,2,26,967.4593999952776,0.6814999942434952,2.980199999001343,True,272.9444173809545
RSA+AES-256,5000,2,27,220.86439999839058,0.7056999966152944,2.974700000777375,True,272.9444173809545
RSA+AES-256,5000,2,28,878.3169000016642,0.6789000035496429,2.9323999988264404,True,272.9444173809545
RSA+AES-256,5000,2,29,1332.9752999998163,0.7069999992381781,2.9821000061929226,True,272.9444173809545
RSA+AES-256,5000,2,30,225.73569999804022,0.6575000006705523,3.005699996720068,True,272.9444173809545
RSA+AES-256,5000,2,31,522.6440000042203,0.661599995510187,3.014000001712702,True,272.9444173809545
RSA+AES-256,5000,2,32,630.1743000003626,0.6720000019413419,2.887999995436985,True,272.9444173809545
RSA+AES-256,5000,2,33,247.3688000027323,0.6656999976257794,2.9540000032284297,True,272.9444173809545
RSA+AES-256,5000,2,34,638.8125000012224,0.6791000050725415,2.9598999972222373,True,272.9444173809545
RSA+AES-256,5000,2,35,122.20600000000559,0.6099000020185485,2.8993000014452264,True,272.9444173809545
RSA+AES-256,5000,2,36,362.81549999694107,0.6549999961862341,2.8719999972963706,True,272.9444173809545
RSA+AES-256,5000,2,37,445.26110000151675,0.6717999931424856,2.9298000008566305,True,272.9444173809545
