scheme,volume,n_repetitions,n_transactions,mean_key_gen_time,std_key_gen_time,mean_encryption_time,std_encryption_time,mean_decryption_time,std_decryption_time,mean_throughput,std_throughput,mean_peak_memory_mb,std_peak_memory_mb,mean_baseline_memory_mb,mean_memory_used_mb,std_memory_used_mb,mean_cpu_percent,std_cpu_percent,mean_peak_cpu_percent,cpu_sample_interval_sec,ci95_key_gen_time,ci95_encryption_time,ci95_decryption_time,ci95_throughput,ci95_peak_memory_mb,ci95_memory_used_mb,ci95_cpu_percent
RSA+AES-256,100,5,500,775.9663447999919,536.8673107379934,0.9069694000500022,2.2473436261744224,3.0389078000880545,0.2896146687405581,253.4533852266025,2.766303407552785,78.69921875,0.11365106660918871,73.3671875,5.33203125,0.20620042609717432,99.00950539191527,0.43954457564970983,124.72,0.05,47.05849462694011,0.19698835418353383,0.02538584499413087,3.434268696944055,0.14109381471482457,0.2559905998411489,0.5456791807232565
RSA+AES-256,500,5,2500,749.098636639997,503.72678704989926,0.7159313200681936,1.022452610727204,2.981656720052706,0.12268227248911309,270.45474712349653,1.6588756620966667,78.91796875,0.2797131404099006,73.2515625,5.66640625,0.1545463765978719,99.46461559008438,0.06431194437873877,130.9,0.05,19.746090052356053,0.04008014234050639,0.004809145081573233,2.059435976150139,0.3472540573860783,0.19186390832151376,0.07984102424068439
RSA+AES-256,1000,5,5000,727.5987856599953,502.9001551875672,0.6931288599676918,0.7476068084789576,2.977134660008596,0.13663490558603983,272.46106050142225,0.6005586230269255,79.3625,0.14898644384378987,73.2671875,6.0953125,0.21350077415879842,99.51504532375394,0.01911094556233475,130.66000000000003,0.05,13.939681111721518,0.02072260348231877,0.0037873263568375596,0.7455724755679535,0.18496144673240353,0.2650537260175401,0.023725568907059867
RSA+AES-256,5000,5,25000,729.773613748028,491.8831424686192,0.6750183440186084,0.3283827661721022,2.9887267120042815,0.1591439723682278,272.94490433799893,0.2250625816703903,82.5421875,0.5948630090295738,73.5109375,9.03125,0.5699645770928444,99.54265305533731,0.021183078228383372,124.8,0.05,6.097446605540384,0.004070674942965314,0.0019727691199963623,0.27940730469901925,0.7385015704721579,0.7075910401341475,0.026298048965283642
ECC+AES-256,100,5,500,0.16837260036845692,1.4688702823843802,0.19250399974407628,0.4317928107096798,0.12591059965780005,0.06911514122504869,3166.925008332723,325.8836705294205,78.87890625,0.15311802439468467,73.3203125,5.55859375,0.16519789417023828,80.36666666666667,8.655922827752104,105.16,0.05,0.1287521570203988,0.03784830861614769,0.006058209238905313,404.5731518418278,0.1900906591377026,0.20508739395720116,10.746024723589645
ECC+AES-256,500,5,2500,0.04251847976702265,0.30902145918761,0.14897096004569904,0.08827583667412998,0.11269627994042822,0.011055717704139783,3821.9996362834927,41.05266254438799,78.94921875,0.14974241392252147,73.33046875,5.61875,0.21725563791771033,82.34333333333333,13.722270782181104,111.78,0.05,0.012113641200154311,0.0034604127976258954,0.00043338413400227947,50.96544128799044,0.18589995708167537,0.2697152577328658,17.03571808846689
ECC+AES-256,1000,5,5000,0.035643339942907915,0.2291268251046704,0.145509420131566,0.06886790335996772,0.11285092009638902,0.02741706547958158,3872.1395042707363,87.25720435656484,79.37890625,0.2599784724786723,73.1203125,6.25859375,0.33605557517972384,80.96510101010102,6.6053982887024025,111.66,0.05,0.0063510715659036545,0.0019089208896997734,0.0007599622824972313,108.32676006776128,0.3227541590250523,0.41720121484947165,8.20037039747804
ECC+AES-256,5000,5,25000,0.02697889600589406,0.10242038034558454,0.13171974798955488,0.0339149533253392,0.10497058800596278,0.015246651505206193,4225.306580092307,44.61119425439353,82.85234375,0.2523147235627808,73.38515625,9.4671875,0.2542005505931783,89.77455440900562,4.605790272730487,124.29999999999998,0.05,0.0012696161883941387,0.0004204141170457838,0.00018899945015336163,55.383233647783,0.31323988342851944,0.3155810715717516,5.717927149690615
ECC+ChaCha20,100,5,500,0.1269347996567376,0.9629455654492481,0.16186340010608546,0.20714949028915786,0.11445459959213622,0.02386972756520991,3626.121168344621,180.7588659283958,78.76640625,0.14150117670115855,73.34375,5.42265625,0.21112549492985208,82.32,16.22250836886139,98.82000000000001,0.05,0.08440590032467847,0.01815745339820679,0.0020922738708562282,224.40579484452365,0.17566874999999996,0.26210490012946147,20.139675396770645
ECC+ChaCha20,500,5,2500,0.04917567991069518,0.4320662366697235,0.14269076004275122,0.04746078899996126,0.1089437200978864,0.014171888897012774,3974.1982613244304,29.804330289567307,78.91953125,0.13773616969193767,73.4234375,5.49609375,0.202805487889181,82.8847619047619,10.465838716765683,111.47999999999999,0.05,0.01693699647745316,0.0018604629287984815,0.0005555380447629007,37.001031147697574,0.17099462579502678,0.2517759030786976,12.992971846154111
ECC+ChaCha20,1000,5,5000,0.035800440100138074,0.2291663446043967,0.13624558011943008,0.03687034077039686,0.10574600014369935,0.015090388262594791,4134.490727251838,104.07184783203216,79.21640625,0.09008120793726904,73.278125,5.93828125,0.1583453257519779,78.68671328671329,11.520179710591792,111.53999999999999,0.05,0.006352166990548481,0.001021993704949533,0.0004182842221517715,129.20155043978238,0.11183266150676867,0.19658017050938784,14.30189922596207
ECC+ChaCha20,5000,5,25000,0.029947656027507038,0.11222006865161138,0.13147654000960757,0.023461304448816323,0.10141993201745209,0.0129362401512485,4295.0320795542375,82.6660831663999,82.7765625,0.2735686069614782,73.2828125,9.49375,0.2850840019776517,74.79285342136855,1.203718410384386,124.16,0.05,0.0013910943831886458,0.0002908293430326514,0.00016035929428851608,102.62704406979401,0.3396258345303972,0.353921793725985,1.4943742054583267
