scheme,volume,repetition,transaction_id,key_gen_time,encryption_time,decryption_time,integrity_verified,throughput
RSA+AES-256,100,1,1,584.5094999967841,20.80969999951776,2.5540999995428137,True,249.11191599433621
RSA+AES-256,100,1,2,878.9741000000504,0.6014999962644652,2.474900000379421,True,249.11191599433621
RSA+AES-256,100,1,3,80.96179999847664,0.563299996429123,2.9141999984858558,True,249.11191599433621
RSA+AES-256,100,1,4,438.23759999941103,0.570500000321772,2.4558000004617497,True,249.11191599433621
RSA+AES-256,100,1,5,1089.3199999991339,0.5548999979509972,2.7002999995602295,True,249.11191599433621
RSA+AES-256,100,1,6,911.7355999987922,0.5773000011686236,2.468300001055468,True,249.11191599433621
RSA+AES-256,100,1,7,1431.3487999970675,0.5973000006633811,2.5122000006376766,True,249.11191599433621
RSA+AES-256,100,1,8,1103.796199997305,1.360700000077486,6.70430000172928,True,249.11191599433621
RSA+AES-256,100,1,9,2734.2787999950815,0.6655000033788383,3.1286000012187287,True,249.11191599433621
RSA+AES-256,100,1,10,416.1750999992364,0.6491999956779182,2.4472000004607253,True,249.11191599433621
RSA+AES-256,100,1,11,522.0402999984799,0.7543000028817914,2.517299995815847,True,249.11191599433621
RSA+AES-256,100,1,12,233.05450000043493,0.6671000010101125,2.650900001754053,True,249.11191599433621
RSA+AES-256,100,1,13,873.181900002237,0.5760999993071891,2.4228999973274767,True,249.11191599433621
RSA+AES-256,100,1,14,639.3344999960391,0.6147000021883287,2.438299998175353,True,249.11191599433621
RSA+AES-256,100,1,15,891.491499998665,0.6558000022778288,3.977099993790034,True,249.11191599433621
RSA+AES-256,100,1,16,1366.1876999976812,1.2790999971912242,3.8732000029995106,True,249.11191599433621
RSA+AES-256,100,1,17,700.9988999998313,0.5824999971082434,2.70470000396017,True,249.11191599433621
RSA+AES-256,100,1,18,557.4761000025319,0.5423000038717873,2.455900001223199,True,249.11191599433621
RSA+AES-256,100,1,19,254.50650000129826,1.0617000007187016,3.173599994624965,True,249.11191599433621
RSA+AES-256,100,1,20,751.9408000007388,0.5444000053103082,2.498499998182524,True,249.11191599433621
RSA+AES-256,100,1,21,515.8991999996942,0.6457999988924712,2.6405000025988556,True,249.11191599433621
RSA+AES-256,100,1,22,402.8573999967193,0.6627000038861297,4.325400004745461,True,249.11191599433621
RSA+AES-256,100,1,23,4228.918199994951,0.7811000032234006,3.6941999933333136,True,249.11191599433621
RSA+AES-256,100,1,24,268.18269999785116,0.6907000060891733,3.8478999995277263,True,249.11191599433621
RSA+AES-256,100,1,25,1015.9392999994452,0.9558999954606406,4.903099994407967,True,249.11191599433621
RSA+AES-256,100,1,26,277.46379999734927,1.0468000036780722,4.63329999911366,True,249.11191599433621
RSA+AES-256,100,1,27,1517.9562999983318,1.0649000032572076,3.634799999417737,True,249.11191599433621
RSA+AES-256,100,1,28,214.16709999903105,0.7126999989850447,3.3258999974350445,True,249.11191599433621
RSA+AES-256,100,1,29,465.78669999871636,0.7335999980568886,3.5422000000835396,True,249.11191599433621
RSA+AES-256,100,1,30,1485.175200003141,0.6783999997423962,3.729899995960295,True,249.11191599433621
RSA+AES-256,100,1,31,770.5338000014308,0.6982999984757043,2.9651999939233065,True,249.11191599433621
RSA+AES-256,100,1,32,1038.9204000020982,0.7113999963621609,3.0702000003657304,True,249.11191599433621
RSA+AES-256,100,1,33,1815.390900002967,0.6987000015215017,2.94690000009723,True,249.11191599433621
RSA+AES-256,100,1,34,400.5204999994021,0.7082000010996126,3.03140000323765,True,249.11191599433621
RSA+AES-256,100,1,35,1065.4500000018743,0.7470999989891425,3.2661000004736707,True,249.11191599433621
RSA+AES-256,100,1,36,577.5704999978188,0.7426000011037104,3.06319999799598,True,249.11191599433621
RSA+AES-256,100,1,37,349.85739999683574,0.7019999975454994,3.006999999342952,True,249.11191599433621
RSA+AES-256,100,1,38,1803.800300003786,0.7217000020318665,3.2752999977674335,True,249.11191599433621
RSA+AES-256,100,1,39,1007.898900003056,0.6504000048153102,3.023899997060653,True,249.11191599433621
RSA+AES-256,100,1,40,1976.7950999957975,0.6714999981340952,3.4214999977848493,True,249.11191599433621
RSA+AES-256,100,1,41,2519.1028000044753,0.7932000007713214,3.2730000020819716,True,249.11191599433621
RSA+AES-256,100,1,42,804.6987999987323,0.7244999942486174,3.0702000003657304,True,249.11191599433621
RSA+AES-256,100,1,43,1080.8838000011747,0.684200000250712,2.9810000050929375,True,249.11191599433621
RSA+AES-256,100,1,44,367.7933000071789,0.6839999987278134,3.032200002053287,True,249.11191599433621
RSA+AES-256,100,1,45,749.6210999961477,0.68710000050487,2.9738999946857803,True,249.11191599433621
RSA+AES-256,100,1,46,1540.3780999986338,0.6681000013486482,2.947900000435766,True,249.11191599433621
RSA+AES-256,100,1,47,709.8912000001292,0.6221000003279187,2.9580000045825727,True,249.11191599433621
RSA+AES-256,100,1,48,592.1257000009064,0.6161999990581535,2.96580000576796,True,249.11191599433621
RSA+AES-256,100,1,49,1791.8073000037111,0.6683000028715469,2.949800000351388,True,249.11191599433621
RSA+AES-256,100,1,50,606.8337999968207,0.6786000012652948,2.93430000601802,True,249.11191599433621
RSA+AES-256,100,1,51,1057.2687000021688,0.6290999954217114,2.952000002551358,True,249.11191599433621
RSA+AES-256,100,1,52,2278.9005000013276,0.6635000027017668,2.976499999931548,True,249.11191599433621
RSA+AES-256,100,1,53,126.42990000313148,0.6531000035465695,2.9561999981524423,True,249.11191599433621
RSA+AES-256,100,1,54,881.6393999950378,0.6758000017725863,2.994299997226335,True,249.11191599433621
RSA+AES-256,100,1,55,558.5078000003705,0.6678999998257495,2.9221000004326925,True,249.11191599433621
RSA+AES-256,100,1,56,818.9216000027955,0.6670000002486631,2.9866000040783547,True,249.11191599433621
RSA+AES-256,100,1,57,238.4158999993815,0.6436999974539503,2.9712999967159703,True,249.11191599433621
RSA+AES-256,100,1,58,1416.8590999979642,0.7215000005089678,2.9947000002721325,True,249.11191599433621
RSA+AES-256,100,1,59,1281.1068000009982,0.6839000052423216,2.974000002723187,True,249.11191599433621
RSA+AES-256,100,1,60,951.0140999991563,0.6873000020277686,2.911700001277495,True,249.11191599433621
RSA+AES-256,100,1,61,2349.423499996192,0.6922000029589981,3.015000002051238,True,249.11191599433621
RSA+AES-256,100,1,62,864.2910999988089,0.6097000004956499,2.9962999979034066,True,249.11191599433621
RSA+AES-256,100,1,63,291.5629999988596,0.7110999940778129,3.016499998921063,True,249.11191599433621
RSA+AES-256,100,1,64,459.57759999873815,0.6668999994872138,2.8919000033056363,True,249.11191599433621
